model,best_cv_mae,best_params
RandomForest,3.3476234295237033,"{'n_estimators': 300, 'max_depth': 28, 'min_samples_leaf': 18, 'max_features': 0.5}"
HistGradientBoosting,3.370540109257354,"{'learning_rate': 0.059504219719087904, 'max_depth': 12, 'max_iter': 227, 'min_samples_leaf': 80, 'l2_regularization': 0.05609082201943282}"
